25Y-02-14 at 09:14:43 | INFO | Пользователь ввел название {title} новеллы и ссылку {url}.
2025-02-14 at 15:13:13 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_56.html is got
2025-02-14 at 15:13:14 | INFO | chapter 56 for link https://www.52shuku.vip/yanqing/am/h2QX_56.html is got
2025-02-14 at 15:13:14 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_57.html is got
2025-02-14 at 15:13:20 | INFO | chapter 57 for link https://www.52shuku.vip/yanqing/am/h2QX_57.html is got
2025-02-14 at 15:13:21 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_58.html is got
2025-02-14 at 15:13:27 | INFO | chapter 58 for link https://www.52shuku.vip/yanqing/am/h2QX_58.html is got
2025-02-14 at 15:13:27 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_59.html is got
2025-02-14 at 15:13:29 | INFO | chapter 59 for link https://www.52shuku.vip/yanqing/am/h2QX_59.html is got
2025-02-14 at 15:13:30 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_60.html is got
2025-02-14 at 15:13:36 | INFO | chapter 60 for link https://www.52shuku.vip/yanqing/am/h2QX_60.html is got
2025-02-14 at 15:13:36 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_61.html is got
2025-02-14 at 15:13:39 | INFO | chapter 61 for link https://www.52shuku.vip/yanqing/am/h2QX_61.html is got
2025-02-14 at 15:13:40 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_62.html is got
2025-02-14 at 15:13:45 | INFO | chapter 62 for link https://www.52shuku.vip/yanqing/am/h2QX_62.html is got
2025-02-14 at 15:13:45 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_63.html is got
2025-02-14 at 15:13:48 | INFO | chapter 63 for link https://www.52shuku.vip/yanqing/am/h2QX_63.html is got
2025-02-14 at 15:13:49 | INFO | page https://www.52shuku.vip/yanqing/am/h2QX_64.html is got
2025-02-14 at 15:13:51 | INFO | chapter 64 for link https://www.52shuku.vip/yanqing/am/h2QX_64.html is got
